"tweet_id","tweet_text","tweet_sentiment"
"40b149d273","clothes poor girl","negative"
"e61d64740e","Yeah but it doesn`t sound indie enough i need2learn some other tunes and then pick up mo style =] 1hour! I`ll c u then ;)","neutral"
"431ed00e5d","hey beautiful","positive"
"fe530042f7","I shudder at the thought of what she was thinking she`d do with it if she`d managed to reclaim it...","neutral"
"2ca5660e66","clothes May 10 is Human Kindness Day.","neutral"
"b59a33cbaf","needs 1000 words for 502 part 2 .... then freedom ..... until another few assignments and exams","neutral"
"7c843939bb","ned to go to beathroom, don`t know if i can reach/find clothes. need to walk outsie to get to bathroom. ok at night, not ok in daylight.","neutral"
"9fb39d3c8c","Only has under 200 words left to write on her assignment","neutral"
"c481433b33","hm... i don`t I can recommend any white chocolates though.. you have to move to the `dark` side first..","neutral"
"1a34426d09","my grandpa was telling me how they used to cut up human bodies in med school","neutral"
"93a9346111","I believe a man died in a car wreck today just right down the road. It happened at 12 and at 2 he was still in the car.","negative"
"4d6da31db3","Superman","positive"
"b442a0a793","I`m stuck wearing a sun dress","negative"
"969185c4e9","omg!! i have so many finals to study for !!! i so freaked out that im gona fail","negative"
"b3fa6e62e2","is looking forward to tonight`s dinner date with Mom; is gymming this afternoon; started 'bawas kanin' (less rice) movement; is celibate.","neutral"
